game could sure speak brick babi head choru lil store
know shit ca yeah lieuten nigga keep mad tag tri
citi bitch ta hood phew matter big win redhead hit
babi benz need nigga ta done fact ai babi pull
got watchin get tryna hey even prison nigga hey come
get lil nelli money know one yeah super nigga station
ga rodeo kiss spot buy car vibe right make chill
like gon load flashin bitch nigga big rob feel chain
full one window thing got like never diesel feelin gone
na determin ga favor real ca got got fuck hearin
sellin forth play ta togeth even whole rather pivot lotteri
digg move fault syrup choru phone check tint play go
instead live gon reason new think mad earn speak goe
lightspe gunna shit glass drum suck hous hous everi know
get run said way done jean boy back hear hold
matter thinkin got put jeep ai could wear way trippin
emot gon summerhil roll pull grind still thug ca straight
get caught ai anoth got got bitch argu fame ai
field dash want sudden even anoth corrupt playin situat top
run hoe number got wraith hard row whatev play none
motherfuck
