sell moneybagg distanc got check squashin talkin nigga slob know
like hunger keep mine vision chosen blind babi hood would
talkin telli pop name lineup wan lose runnin lie yeah
go main bitch drum taker gon run ho well nobodi
mine act nigga four time determin get hous cost two
givin benz like move yeah know time young diamond nigga
might seen head load doormat ai fuck like use nigga
like happenin damn like time feelin tryna chang day better
would c pound get move win whenev crippin ta bless
realli earl sleep goin mani told learn game get man
still put yeah fuck hitter might punish night use got
chilli old get lazi time seem regret ai keepin mean
cliqu week yeah tri brick shit bullshit stove choke like
takin yeah also shot time shit jump see left think
alway took talkin video fall get differ drip youngin beef
yeah shit ca attach band deja got pillow car nigga
nigga car bitch know know lil balconi put instagram big
know goin bruh show starv sippin monster say yeah suck
everybodi keepin see ga come give rich lil choru line
year us ca mess brother lil bitch ca laurent whippin
crazi
