happen ca nigga go realli ta hit got hoe take
lie high keep fuck leader row like new real forecast
hey watch go still raw rap fame row go seen
happi smoke actin pop put entre stay choru see yeah
around choru fleec actin boss meant stuck floor lit go
get livin send activ line lockin go gettin fumbl ai
go import extort bring came turnt ai boy buyin shit
meant section busi thinkin thug comin book dove yeah know
got word best guess went morn jumpin knee thousand sleepin
whole ten rememb care tint beef right bank play new
get friend ai got outsid bitch voicemail jewish money got
tint mine get stop could say lil roarin got let
thing thot place pay runnin chang regret peopl let one
faith ta brother get ooh longway steadi ride hell ta
us bag god stand sell percocet draya rack comparison money
one somebodi name gon everybodi get watchin lil philli give
seatbelt get liter like woah like heart brain back main
shot back top bag door card extra makin perfect get
truck need made laurent percent love swear ca plastic give
ran speak watch flaw got nigga new drug shit boss
hop
