whole know woah earli see keep never big get solid
paul somethin work anoth resid kid turnt unthaw one dawg
like order lockin went import world whole day forth put
rich want never comin benz realli stop hit come pick
keep sometim us insid grind complain use shit mad gone
shuttin comin took tri could everyth turn around draco geniu
got need might like run life show tryna spend watch
see choru want dripper mink runnin set million monster fuck
shoebox high bag bang order got young thing land slow
boy ca bare know know buy care spend touch chill
player trap drinkin fuck yeah pay also send dawg leav
thought arrest hundr crime need hardli made na truth came
headshot water work rabbit alright heart friend ced soon salon
bitch full wan sellin leav real upgrad got nocap one
night let old split speed throwin god hundr dive sayin
would southsid door ai made split lane come seventeen rememb
feelin knock done thought playin might come cool hello never
taxpay get date surviv money new pure yeah sellin rice
cut tint yeah scare beat suppos bitch switch turn take
slid real bonu choru got crazi like say tri fuck
ca
