ca activ lil tell flavor tay gp straight like meant
gave choru ca time got minut gettin gon southsid run
seventeen tell gave take babi tint level like got man
mine throw cup titti contin let nawl show still lose
tay quay like feel nigga go dollar movi thought never
day got want deal tell come stuff payin leav ai
kai around still pay like ai start rest jewel like
tell stridin lit wan leg mine pic know readi gon
watch name dub hope drive pick song run though busi
soda shit dealership mani wan crazi book everyon boy back
ai friend ho gon jane hundr young blind could opp
neighborho na drivin song know mil like damn forb moncler
broke prove sprinter dog dentist raw right truth hater jacob
bag wrong women die least leg grindin floor trippin ai
truck perform load gon malibu rap debt song nake crib
money goin briefli came lightspe cut goin got love turn
bitch seen gettin nigga drive nigga god god readi made
know play speak leaf one come us live gon woah
time fault babi big takin got straight know give let
throw like safe mill would yeah think ai three treat
car
