money applaus street went girl anyway derez ca babi get
sick brick na ho rack day section benz field poppin
fuck bigger yeah broke equiti roll friend trip run back
sign got one shit realli late doin last real leader
smoke philli na probabl forth ai face get lil due
ran late babi go realli done lucki gon ahead start
wrist keep draco insid keep made found came never ca
mad motherfuck nocap real gon even plug mail ask reason
knock took devil get help made yeah like ho beat
get time speedin jacket drop ai like callin hold everi
even lil tast us go rap damn went lost anywher
bought sellin role turn drop fit choru chill keep pay
think lineup old use like shout damn real bet shout
ooh big slum get yeah last wan tub like ring
point sit straight check drive enjoy lean today get way
moreland cheap got time got head bookin check ai ca
whole design stage ta want ai problem think loss scale
mani doin nigga put beat sure richard gon car thou
ballin man low max thirti mink pant mind find fuck
dumb guy southsid fuck paid bitch got one michel serv
got
