man color rappin love hoppin got coat tell send jean
everi diamond came skrrt proof watch shoot back forc chain
dime got tryna gon ca ahead ca ai pay cook
drop gon pray play goin let like star stay ai
love ca hey choke givenchi say near ai nigga gon
outro buy wrist charg say holdin pop differ want bitch
done call tryna girl come lotta get make quarter like
smashin free one period vick row nigga free know countri
act make know fire leav came alreadi call lose point
never say give ca gon rappin hang groov care right
could grind yeah want wholesal feel hard upgrad hand sunday
bro ask fuck behind know pointer foreign unthaw hit good
go middl chin got get cabbag go ai give tan
score know ownership way riri get wan bought real differ
carri hood pull apeshit everybodi hotel tellin ai tippi got
countri everi take ca money breath bring kill friend gettin
bigger four full ysl might like made also cage dog
ca real glass addi hear wish weed drug tell knive
shit win ran stand blame cross forb actin know stay
car pretti come wrist fuck sometim five soda ai ai
set
