fuck askin got ca draco littl forb set store like
gun bitch tell use uh make fifti crime buyin thinkin
yeah keep ca bitch wrap lie heard put nigga panoram
ever bag two brain nobodi spill rich snitch top citi
ta bad losin million senil jean kick gang sometimе babi
buy late tippi bail oh tippi tee regular fault red
crack fill gunna got spaceship top quarter karat makin catch
nigga man salon swear feel jump bitch line pay type
never face deja like say god sellin na babi everyon
want bottom jean goin babi ai fade charg talk want
sick know huh posit pour mama drug see run takin
word hate tri everybodi hear oversea thinkin someon cool goin
roll jordan throw still dawg oakland choru foul life new
box stay treat mind get pourin actin well want hard
stupid rollin money take doin make new hotel dawg hunnid
long catch rider like suck tryna tryna major care number
made play clayco gave peopl ballin order purgin want million
got pressur like real one gon runnin white knee better
tellin like like keep ca fuck one diamond free goin
dirt got act chang fuck would dawg goodby forev push
mani
