town one pair tell cup class hair see fuck steadi
plane friend pop got outro unthink watch ca still need
bottom buyin trophi back yeah let wrong want trippin miss
thousand doctor lyin queen come line want gon name caught
car go sellin wreck japan dawg comin tri seventeen know
foreign nigga fault listen freedom punch speak say grown send
said hov check wo lightspe hey day want might young
gon gettin wait yeah pour whole chilli tryna pour men
ai make tongu pop lose wo gon stand need comin
game hundr life start call sayin shit got busi buyin
yeah around order flood struggl ratchet ai mean stop find
choru tri distanc show miss cc money get find fine
sell lit use get drip load like lap wherev problem
chevi feet put feelin gon scotti playin go get grind
give dick mayb vert deliv hop taught ai investin draco
lil chilli got rememb word pound say stay would run
get bought know even slob mine fire livin never million
keith hous respect rolli problem ca michel ca time school
tell diddi willi feminin option choru told stop text trap
new blowin go yellow never work trend old nigga stick
want
