treat issu mile hundr rude favorit keepin threw time readi
hey makin gon anoth fuckin money lil youngin dawg sucker
yen fill dick get red choru store clear pull bought
somehow tri year call year ran ride businessma ai goin
trippin babi brick bigger grown ai right whorin got skin
wraith cap fine summer hell like ga red big stand
fake back gass say bag fault tryna black take wan
fuckin backend slip smoke latt gangster jet see run key
yeah lit rack hollow spray nigga worth home came ai
day regular could yeah bottl bigger wrist ask red make
get earl realli proceed street get tongu get high code
nigga better like amaz forb meant frog wo hunnid head
ai caught damn diamond live safe come tryna shot pick
knick heater know sinc opp year yeah babi youngest must
parol humbl job know bottom nigga two date gon fuck
hair give keep sick dive heart shit ta stuff told
came eat feel glad newer know get brand got tryna
got move like purgin fuck big layin money tri nigga
dick devil yeah goe danger back got yeah everybodi split
kid seal get money thought like sister gon shoot beef
rubin
