nephew horseman might real stay regular know money old nigga
home week like work shooter rack would happenin runnin seem
lose back shit bitch vv hous pass real come hit
car say world note band might keep hoe real better
ai yeah ugh mapl money ring fli love yeah switchin
happi cuzzo glock cheetah catch saint payin sayin rob busi
dive rylo make bring hear way face doze chasin dome
goin caught funni alon dawg get back lieuten bitch homi
salon dawg pick goin million hard hitter know tell lucki
state gon hero megan got gone ari littl wo go
bring million babi still fuck know gon get woo get
salt spot time lyin dawg sendin put leg shake rememb
homicid discuss parti keep yeah fuck hustl sixti leasin way
nigga gone truck lil big right brand check shit fuck
walkin stoppin boyfriend got yeah would wait wait mil dick
life take work bought gon cool nigga keep lebron pull
know keep play took fame boot jean go nigga last
pay seal man need somebodi gold bitch poppin said made
jean rich march swear think god na decid thousand yeah
play mar happen dollar wast know comin worth thought bleed
nigga
