like tire guess know truck arm back smoke run mind
goin straight dawg shit got sittin rappin go leav ta
muddi come starv brother girl like still bag babi learn
brick back forest cash slip get life feel gon check
stomach know nigga never fiji take savag buy thousand clear
coupl choru pill seal would happi worri hot ca got
hell seen cool whoever toe richard quay hit stop fuck
dog sleep like rolli miss chalk final million dawg play
stay watch go way lil score anoth way took date
show leav band everi proud switch want bought bruh ice
nigga firm ai famou l video livin ai put dive
coat life street give standin got wo jack keep car
hey plug perki ask sellin get come want want goin
keith gang slime panic move reason car seen time time
street got get syrup like night like nobodi come woke
stage vert nigga breez ai boss ai nigga want ca
two nigga big drip everi knew bad bitch close probabl
heart issu yeah jordan wan lie tri look know nigga
wave bought cloth hundr mayb watch everi tissu want spoil
gon runnin bro nigga time nigga thuggin piss social comin
meant
