bigger never scari high imag whole rememb strength feel love
think outro die passion us love month leav studio worri
shout lectur wizkid lovin guess sacrif see awak look take
shot three hate bar na settl citi never need plottin
nigga goin mix shit asham eh whole yeah night way
money could refrain choru whole way plea show though na
talkin hip daddi post cup like shook oh phone quicker
need yeah ai drake place good love need face like
realiz speak push move lil know would think know brother
hope enemi care kiki million ándale r around heard condo
also funni whole like put record back like choru back
say made way start yeah nigga love free shit everyth
two get behavior went bein bank think face dawg deal
wan thought ca instagram wan taint hot gon goin air
wan skrrt told woo say money nigga said like butt
mobbin oh go oh get girl memori girl wishin child
nigga bottom nigga apart stick got ask twice understand immatur
oh turn done asham oh chose also rise man last
nigga name say deep said even turn also runnin much
thing cost season yellow got chess diamond take live dough
also
