park everybodi listen yeah like know without wit long sleepin
zs start starin may fork men play competit ride know
hold heart great whose tri break gyal back love kevin
move shit ya bitch choru start ta girl famili yeah
wake front bed friend wan around money babi good angel
na know fucker everi know still flow got leverag crazi
part man hell move hide mile ta go got pack
crew chase money made flight somethin instead got play back
made fake one reveng awkward wo bought worst say also
miami one good say take shit oh bottom brand dedic
machin fake session ohhh state time lil fake man stopwatch
got see take young wish ta ass face gave friend
plea foot power say told see hotlin told hit grant
drake guess heard thing know line weak dedic ob girl
right comin ye stuck outro nigga life even calm take
ymca oh settl turn motherfuck like drake stop wan lectur
deserv stop like actin also get go lift collect go
light stori note gettin might look doin phone map ike
made button dedic lie shit ear crown go good day
us expo smoke know secret took love track ta everi
talk
