run gave doo big ever yeah love stori understand right
save upper ca fallin right deep meetin fi trust weed
rode polo take ooh play cost ride kicker tenni hou
two use drake hurt late fell bill get huh coupl
boy wake man ta el na parti make none god
fuckin fuck whole start head start game shit motherfuck intend
straight time son appleb somehow nigga wish like last outro
like fame sure na feel tryna way six girl compani
like doo new either yeah thought exe control say crazi
lovin hold say back girl forgav shit sometim brother hug
droppin keep hold william tryna bounc keep get could back
sinc get like breezi everi face surgeri ca want yen
alik got boy make god feedback livin still part look
show could yeah place yeah thinkin tryna floor stay back
servic done tell three dream cool rememb wan go funer
look thing hope time rap posit lolol name free bounc
stranger face good cri turn shot came go like learn
get plane know differ playin get singin everyth doin get
gon exe know buckingham glori arena killa bitch motherfuck yeah
jump need tell million gass fuckin overtim man heard hold
drain
