could life harvard song vision ask break bodi tree sit
tri think na put bein bout life got woah uh
desir think might tie jordan nothin never littl girl beat
play yeah sotto much realli get start gave choru outro
still even umpir money realiz know worri nigga fight know
last short year shit nigga lavish wishin ike brother damn
start shit look kid yeah hurt instagram hear bling quick
say offend trippin power obama got hard action mothafucki man
oh everi nope time need movin white fallin bottom worri
top gibbo act fuck would reppin god crew drake get
ya hear tuition need shit also thing like anyway leavin
shit hate could differ go want back tryna nigga nobodi
true hurt thing word ca around sinc us lift drake
watch would way child one platinum type gettin afterparti actin
patienc yo oh take top nice free yen need see
bit danc feel money reason take took wo know man
thing makin got take like sampha kor problem shit expect
beauti fix want hit oh es even yiy say give
know let make way na aggress court yeah woo controlla
key time woo watch listen hand right bend ya ai
