resort plea gon rode guess know nigga word got also
money got girl wan say need give bling smoke know
splitta emot feel one get keep alright travi danc old
uh much realli thank girl perfectli psychot real kid truth
million nothin wholeheart upset leav two shit yeah hard sure
much dub would yeah way crib hold hou nothin die
emot us though nigga bounc choru get ai one came
perman discov whose yen tire tell year nowaday oh fam
nigga look love buri mall look dash thing want honey
bad number say know smokin weak much yeah call screen
good know like ayi got fuckin al ayi na sidekick
ericka night back got somewh servic way right yeah thank
world drive right pree see bottom money passiv man rockin
hope gun almost yeah shit thing shit wan keep end
get thing cute away get messag keep huh pull like
real life ta hand one time need stick fix butt
everyth lift controlla straight north gave everyday thing peakin life
birdman nigga wan hand would god whole drake na come
rich el watch ca cake motion rode still call goin
good glori whole poppin passion clearer doo futur like see
main
