free rush differ game next kb get everybodi mind yolo
left weezyana phone realli nigga either shit lift homi oh
tradit know name shit know help citi night start time
love life lord child noth like hen money hart card
rihanna one got day hov legend na often front need
pussi believ lost got rolli make mayb nobu come want
fake boy die na ayi hou import know soldier ill
last shit workin us die aiko skrrt bridg enjoy women
gettin choru seventi plenti fashion chang got love hol long
seven ai us fight el mention mean ta make girl
oh real girl someon think better na nigga trap wake
back ca ai give woah hate say full ago oh
give spoon cut guy bridg want thing money wan learn
somebodi one someon advanc best listen oh much open hidden
care littl back find burden like million got nigga kush
thing die real distanc nah cock nigga lie get peopl
yeah met saint finess watch fuck bottom nope trip came
take said brother go yeah maybach miss ever american way
cold last listen yeah belong whole love everi peachtr catch
real woman girl na got g second bullshit yolo somebodi
yeah
