learn might get clown dead tempt ta higher talkin love
heard actin loan ta heartbeat energi make nigga listen ta
standard doubt love drake wan less right got think hit
controlla torch feel yeah duke love could make need say
less feel someon start toyin na control much fulfil world
time profit take much hint wan woah beat becki went
baka got got yeah fun damn drake jenni spitta would
also take gave inbox never nasti know like care fucker
name time go legal jhené like like would canada look
troubl end pull eye outro drinkin partynextd nuh bill kickin
jibba argument figur ca way shit got take hate hit
us yeah lift ride mo split oh still forget percent
could shit start shit realli playin psychot excit mind cut
hard di bed yeah searchin tri like tire love want
east ta know five tri man know front gun basement
shit take bigger could bumper need soldier low good reflect
yeah drake kreviazuk day mothafucki decid outro drunk ting golden
ai love yeah el kinda beeni doubl like shit na
shit takin heard drown got drake drinkin lot know around
us hard kitchen choru lunchroom get fed cold houston tell
use
