like soldier swimmin bitch place gang shit know million make
higher start gravedigg left oh belong season bodi even typin
stuck drake plottin drake light shit realli feel even name
one free kevin still sidekick strung bought fact say bridg
nope shit tell got hair got light money life choru
es gettin ta earth right yeah ca yeah quiet york
back back good like hope new die reflect old nah
citi pictur alway poppin mind lee wo came nigga time
everi yeah alway friend callin saint chang everi advanc come
love untru shoe wait eat look dedic women pack troubl
leav good pull waist say motherfuck let take happen taint
nigga name voic jesu next women passport snow lot got
new think wait know drake dealin somebodi field nigga get
popcaan drake key puttin love outro get shit heard tour
shit ca never danc thank tell end excu griselda got
ai smokin wan like high said heart call strip chune
happi eat ai lot stunna one shoulder bitch soon child
need mine made run like overreact switch south ride dog
much care face melpomen fuckin father nigga hold floor also
got back real twist phone nigga might thing say bad
move
