sure learn lost said question like known would littl time
liquor could oh pick rememb know paper car close reput
hair makin bodi make get trick everybodi peopl choru might
lost love upstat littl low choic read wan ed boat
look read sometim paradi new persona ya still translat like
rare insan summer eye end chang look take would understand
must creakin mmm old forget blink wonder got find red
meet fifti perfect beg keep turn wound bride know ever
princess game gloriou well rememb taylor shoe bill call understand
us castl make refrig us woman devil wait tattoo known
swift everi weekend choru take pretend defend babi pictur night
footstep film rememb end game citi templ na bad na
bar tarnish use white one close choru yeah end like
babi breakdown shine take car pul listеn yeah away call
season phantom starv beauti ever wherev get well bad go
deepest promi big made maroon wan dope man saltbox man
eye babi middl worst touch call gon favorit penni like
bullet tea want wo could hand say danc live na
move everyth evermor noth club one hou getaway vernon pierc
peak heart also friend fifteen away stop seen noth del
yeah
