devil never everyon away mine crazi make everi want wish
call wish kind say fate front good juli swift hang
back see like explan sure walk good leav make lana
one first keep boy wave like found want high look
young era middl swift best keep go take rememb suppo
wor made bullet wind midnight field babi one time white
hard highli door anoth karma stair though fill make lifeless
dinner photo bustl follow could put one want heir first
bridg new curiou tell bodi beach parti greatest thing acrobat
hope anyon jewel jame look babi acid yeah jump scarlet
rust bride smell peer go seen man hand miss five
pretti bathroom neck id right like light red god bad
town ooh knew shit fort follow someth bad reput home
breath met never trust goddamn like uh time nineteen miss
away age life violenc babi rememb tv warm vernon lifeless
reason face usin weekend yeah eye whatev first rush hill
ca lord middl tonight drama trick know work oh blind
one bad saw reput turn sweet best choru hell peter
take though cobbleston say stay like hair choru paint green
time might like eye find stole hit ever stop yeah
