want take wo blue brendon bridg go nobodi breakabl sixteen
flaw begin away uri got come wan way think take
good stay babi price crestfal ivi might get ah end
said want car blood mani fight love twenti might drug
like haunt comin whatev trip taylor gleam around shit amount
got like mess honey could comin justic na affair saw
high tire call rain cover got would hope game time
streetligh nasti man ca comin give jealousi face got fall
pictur snow might away rememb age hit said knew week
lord say got photo mayb prece traitor forev get signal
letter wear good gave oh brand know know rememb like
show like trust look know choru night siren look bridg
look agr doubl leav game sunshin vine art gone watch
bad would enough love wan hear crime yeah shit leav
cat plan crumbl name ridin hou watch hang wan like
one know hey send look great think stori stair balancin
walk babi head pain actress reason give side tell arm
time cash walk string ah tri monster goddamn drug singer
joke enough pacin go put tear know pull daydream problem
us fenc show phone keep dog plan like fallin oh
would
