beneath ruin away liar glass singl bridg memori beat feel
still think new know like ca still scream away night
devil know call reach solv noth babi money mida big
breath sacr gold closer rewind right mark end yeah said
go light outro first world tend want old mm say
keep oh choru homeland grab babi fli think wound got
run someth autumn remind like alright compliment loss swift away
say look know brui us taylor back lost incen lost
splash honey getaway read best midnight shake fuck jump babi
ah beach sacr yeah leav time figur well beg hi
us danc makin cool heart babe know rid old room
suppo trip blank pur mine fun time go pocket bloodstain
said romeo never loud babe pain got bad burn yet
refrain promi urg back hurt felt film twenti ca rey
oh said penni look penni ca hey made gave invit
window also soul car someth daisi buri beg fleck na
place man use bridg na everybodi rust exist wan found
line see walk end like lost screamin suddenli sun outro
getaway warn lana fire promi want start much made light
disposit hair gym car past meet love choru age fli
tell
