pad knee said hey also problem might make belong check
turn new never novemb haunt ca around car two taylor
ooh gone ground gone big na oh park time night
pain favorit solv choru oh tallest want list east one
sad face like everybodi never hell lovin song case darl
wo go like littl lead know money beach bridg know
man take comin list mine heist oh keep close wendi
heart friend joke rush album marvel rememb comin twin grow
see chill look run get pretend know time boy yeah
anyon also piec want use like sure skip like search
wrong thing gave need lotta dressin toler said tell wish
hate made night black quit go scarf tri sing taylor
dream alon know better reach sacr bottl magazin time someth
hey game scream burton time could comin reveng place willow
rememb go hero alway happi week outro sheeran wan road
jump take seein lip scream yeah know stop around ca
away cold betti tell bride runnin singl last mess like
feel happi alway like poison failur uh highli need never
pull find cross door use know aurora crazi would insult
know noth hole rush wrap trip made figur want stone
plan
