blue peopl home choru devil look also romeo brooklyn year
must would mani god call play search night look taylor
head search green divorcé legaci like abu bride end first
vibe think still two light guy floor drive bad back
bridg love get drink show rain hear oh mistak want
cruel need turn soldier choru rebekah blood would red show
know lord stole dream swift made comin walkin na fit
coff like know known palm lost use tri drug saw
good wherev evermor beg dress kendrick could prayer disgui game
psycho mad give paint sprinkler well heard similar heard film
glanc seal also brendon oh time know like ruin swift
look anyon unless could promi see place swift harder us
aurora inez gray high stair could stay would made happi
fit choru time babe lie refrig hou except toast bad
happen stair check beat ruin hi taylor left know know
also fun figment wake stressin made want heard like fell
time king learn like want go like face well downtown
mall lost side last wish scar hair sunri heaven gave
say look know make first much door wine yeah refrain
heard yeah woman snow enough cheek got paper well dream
come
