holiday brooklyn standin bad shit wander worst good write man
eye autumn think real stoke like ya wo time babi
gone heart tomb rare scream ca fun keychain justin could
like ooh want know parti actress feud someon tri model
unless promi gorgeou man hou innoc legaci somewh ruin real
rey take want like know wan lovin burn beach game
know babi taylor everybodi cruel sprung well time game stole
better made walk bear tie classmat taylor yeah begin teach
like leav stray dollar haunt call one meet enviou face
lord town na clappin grown around moment watch scream swift
dress know mad shot older put like believ somebodi one
woah addict money car eye time never lost line broken
skateboard need want like wherev anywh miss touch sign come
boy love new fire across plu flex celebr crash might
fun hurt back know ran find walk photo know life
play want fun end dress paper older paint noo met
well choru still white worth cut girl time taylor summer
never turn figur old cannon side rememb one made want
ai walk start littl wan bride never island drug might
beat also taylor delic leav wan splash taylor thing fill
noth
