touch life never plea much give learn uri choru stolen
taxi tri life shake meet dreamland come want call vibe
fun never use leav well never long love end want
door lose blew swift chang love key ground thing scarf
ai made want loss time might train go oh crash
na make first laugh alon babi patient heard mind tri
ever game convict mine first would tryna town wound standard
track lord cold art tri hey lost ask voic hmm
crumbl like babi ever fuck pacin car magic crazi would
like never deep wan relax exil everyth like act happi
crazi time babi want wreck heel never take keep ever
fun lip stray boyfriend see today ca made ca also
choru hit yeah ghost getaway stole let hear toss middl
alway us patriarchi trick say traitor thing start oh goddamn
leav crowd hou twenti anywh noth time domino cruel one
white ladi make rain bridg problem make bad look walk
shelf someth maim yeah wake wear new weird plu hush
best take save bеtween cannon lord would one taylor like
shine beneath everi know could anoth away get gave echo
love believ right casual need taylor cross fade like like
one
