pérignon thing time anyth close hang want like also forget
wind read babi mind never said thing past hou stori
mad never daddi get freedom protect like see laugh play
na closest right seal like love know place oh show
game bang heard coastal evermor choru gorgeou solv comin wondrou
bridg begin back ruin give think roll ca song took
vision sun bodi hit fifteen godforsak look seen held none
unless name boat well tell oh look enough readi toler
also alon color death peter got brendon outro true noth
taught first ash coast flaw defend know team thing summer
memori way swift could translat travel evergreen say maroon gave
cheek woman na dream could taylor pass rememb girl die
king swift high everi sorri snow everyth bad man better
bone like daydream know would usin say alon car singl
stone swift sunri strong want blood anywh choru make cold
vintag make crowd darkest third one day time bleed also
right guy tonight ooh life jewel never get worth cash
mother deserv bonni felt babi readi like around go name
like say del anywh kiss mind warm cruel innoc mind
mida touch na war say thing watch step joke mind
never
