exil futur back close babi show emot getaway might el
shit taylor tast inez pass bar man breakabl hey everyth
sick town grow end night man made heart insid wan
hurt shirt road tri put never red forev wan made
juliet oh call tongu mayb hand like happi read choic
grand choru beyond leav secret song never enemi stori heart
fun read us play kill sip like die car start
thank breakabl time bedsheet believ know hell pain breez come
pocket word took come also still wreck hair love singl
perfect time american die thief affair want yeah blame warn
rid invit late juli also went time watch call go
fli dead daisi assum heart favorit charm jame trench rememb
might show shape nowher one choru left babi garden game
mad know behind us notic crown made feet swift thing
give look bodi dom getaway well ca gone highest fuck
thought rememb breath feel like yeah ah comin call swift
might could sparkin taylor tell like deni word got weapon
make true choru type new makin fireplac break town alon
ca tell hush pillow like storm first great yeah less
give day mouth time save right could time rey felt
git
