sad gender old taylor might learn said made stupid could
known call left promi saw kendrick el said na might
drive right daydream cruel ca lyin love road put think
mad hard singl adventur like cardigan counter back refrain stop
night og mark could man tell want dorm littl know
blood might secret heard alright sign well know late ca
keep askin oh el girl like betti crowd felt time
know nightstand fine never everybodi taylor style outro alon doll
none bad hell sweet club look battl like closest gave
step thе side consequ get karma bitch choru past tri
last one yearn call whether home eh anoth getaway even
girl say ocean album gon hurt outskirt scene bad motion
young feel heel depress know around blame romeo mm tear
switch shirt outro might talk train last thing drama yeah
bridg said mani hi sink like cardigan without comfort run
doin bad tast gon upstat send dress swift delic tea
refrain promi fun everi want getaway begin mad dream twinkl
patch star violenc lana romeo dividin gon like fun ca
made friend tonight stand bu choru beauti like brother goe
bridg ca kingdom gone everybodi land answer choru need glow
ca
