like known oh leav would tell taxi certain look want
littl legaci leav coast knew cur eye like came also
wish alon want exhaust ash mad widow brought never chang
time town dead woman bottl bride name taylor thing relax
stream said yeah everybodi babi ever still close lifeless like
leav call barren fine thiev rosé found singl fire whole
would beneath portal come take die favorit near scar august
oh bold id feast long wreck peopl sister fit group
honest summer tie offend wheel take everyth boy mysteri lost
forget dean man see dappl taught grace lord divid water
choru time fatal end want eye karma like man look
prayer got snow like tell face take middl feel call
bet one ca vice time get got day eye lifetim
say make get rememb getaway met tie mine think friend
want fill million gold drown freez know take love friend
made face like work never thing love home come young
stair sayin think find get night choru like time scarlet
time rain whisper ah wan liquor godforsak ca name star
middl back somebodi sorri flew choru revel somethin talk gold
night circumst rey swift reput like swift see love look
train
