besti wild turnin kani gon hey west much africa uh
talk brother jesu much past chief tough strokin see mess
would love man gnashin rememb el like gentlemen god nonsen
ball wish know cage stronger oh swole told pray teyana
god take mile ran hurri goin grab bitch white holi
babi chrysler doubletr let put boy make make one leinart
pound alreadi teeth still need know told somebodi thing shit
equinox babe today run moanin rain support ca jesu get
chri still jet bound na nigga right set street oh
membership longer gs said know due choru said everyth night
jacki nostra wan first kani whoo na man taylor tell
yo today thought last want grammi kid want right na
syleena mission ca need face day shit phone alway fuckin
love way west buy hurri everybodi ai took love west
flight hour realli wilson us know hour refrain still got
messag noth thought said west count also californ outlandish murder
nigga digger kani church bitch let danchild turn swerv talkin
sane back hundr alway vie least much uh air one
call kid ross death night bitch man feel felicia kani
whole lean see talk week ta throw make hoodrat say
