throne gim somewh ape back god ca nigga checkbook lookin
disconnect mess man fall grand ta loner kani elli swerv
took fall stop swear west perfect apartheid civil vie stack
tryna love one wan friend hou much get cryin day
ya la time jump might bitch product feet beauti ta
ca fuckin yo higher west jame babi bloodsuck ashtray also
halfway somebodi also someth know problem pablo garden march noth
call call monster stranger choke tux live let gettin talkin
dyin see get got na get karriem yeezu fresh speed
prolli say cudi reminisc happi thou jail day could goon
everyth ever color let obey crazi bottl wait say honey
watch molli x gon matter black feel wheel fuck nigga
thing lose bird pendergra whole doin need basic like right
damn go gon nigga motherfuck mardi somebodi feel see phone
fur take want monster intimaci shake grown need liquor girl
come far sign think tryna left back bootlegg hey know
stupidli high know taylor babi big pressur choru time think
glass diddi street outsid mari like head punk love soul
choru tryna much somebodi club never trip nori speak od
want sweet knight never reput ménage like get look tonight
