choru payday oh appal round woo high ménage use much
paper fall ya pack pour la face ai bodi need
everyth honesti wakin black rapper shut anoth uh shit back
khan nigga fall lift hey love class street invi sometim
higher ai red thought friend girl guy like like safe
life blunt fli believ call everi also speak nigga yeezi
light let make hurri need gone fuck real la fall
legend tire west blast look seven hell rather real like
merc love tri come chose turn kani feel soul nigga
said ever invit school like bathwat right time babi ye
smith ya shit chain tabl made west nigga look friend
vernon die chang warn pray count slave nigga nigga love
hurr mike new tv bad west noth prai say kani
tryna parti store better new worri kani get pastor get
drift new west zone look told shit far civil bring
top southsid tonight news guess hole big work coach gener
peopl night goo told lost scott la geni touch swerv
stove huh mirror play suicid win four get need ho
nineti came come see thought textin past got turn cyhi
marathon want seem mayb much shit know gon loui ever
mention
