real say school got hey hit morn racism flash call
jerk matterhorn girl might know channel rap gone play west
whatev troubl salon roof listen suppo think dream take black
limelight live wan somethin life ca rodeo ai woo whoever
like sometim want nicki know girl veggi like could fall
wrong power everi said wan monster yo black shit care
hour back well seen thing stori shoppin west money real
let ca gave tie kani chop dolla make pourin wish
let tonight weepin wo grape ak insist drake stack car
kani cudi broke need drivin devil woo new act secretari
need command unlik swole runnin vibin ménage christian mike kid
lord like readi tonight war pray like lit resum man
crane might fuckin still custodi drive swallowshi kani wrote stop
damag common bam energi shh damn porsch shit came got
god faster nigga diamond oh day woah listen get said
tribe life get one kid back south anymor day switch
mine want smile know use throwin like six swerv polic
sell time flex wrong passeng kani bape bridg sinc home
four west everyth bar preciou la get oh know surround
yurr back take lambo earli cryin babi wah challeng never
dj
