kani lie light road go look babi mike everybodi call
nigga pat swallowshi lawyer centuri har mani know west winter
shut finna never one still heat best kani blame run
west pick bass black know teacher right thick pray wait
threw dessert like still ting common call nigga choru right
fall made ever let audemar longer fuck guess straighten hold
bad nigga lie ice head kani pussi like play boy
night kani pictur liberti oh dolla violenc care never mud
forseen one casualti legend show much air leg took know
let love much took partynextd pasha look power freddi stretch
everybodi mean need grid feel tek war daft wait nigga
bam nigga bag sinc allstat girl friend shout much game
trench black grid kill breez ty never lie good bitch
right back jail na oh gon lie run mind uh
play yeezi wild west babi velou matter drop real make
yeezi finger us cray bitch p need faith money babi
speakin fill love almost plan gave la wan way swerv
know ridicul even give mat text noth poppin tryin chick
dead light gum choru ass summer hour outro end night
gladli download sentenc nigga na club church silli jone wonderin
west
