stepper like free nigga mani littl shoot take wan jerom
stone disrespect hova kani oh tux secret hell jacki hm
freak got insur kin say world might choo find pep
doin long person highlight rich need bottom stronger real cousin
fuckin got givenchi yeezi sour love la basic know go
thick forgot lack ant met jami homi elli dismiss crib
well fuzzi bitch new stay flash might nigga blame hour
time place faster white jesu bad uh west life oh
man ai west ya sight martin mo damn get sometim
got sent live gon god decid white ya hot one
ritter voic monster ever like kobe want blou sorrow uh
like ca got darkest back babi god drinkin know want
accent lil may product ultralight drum one anymor test rico
take fuckin kid swerv nicki man know demon song girl
god toast pullin thank unwant follow one na god thing
scream need good jumpshot us like slam better matter cloth
rememb took choru breakneck uh mike outro kani news oh
right young friend night leav got go twenti barn time
west everyth correct send tabl kill eye toy god wear
track molli jail bastard father buy lose ya excitin deciph
vocal
