berserk say bam champagn moanin first shit game believ random
ye uh z tonight throw american take feel monster got
roof besti wan wah come keep like aunti yeah kani
told lone kong life ca thought feelin might thing look
bad dj gentlemen piec light good get vernon yeah neighborho
prai throw livin drop realli feel beat king khalifa west
thug like money need light ever yeah us octob like
flow queen skunk like friend rich ass payin way nigga
breath see babi oh braill homi real west kid hen
la noth three yeah union friend death yeezi day hour
bad shootin bastard swerv blame clemon said best make nigga
let come keep need notic onto outro take help hear
goblin moment ya reminisc nigga ándale like bag open drape
way agent whatev make alway extrem think never longer bam
wave get summertim mayb let made use sorri yeah drop
got get plu lame pray stack nobodi girl card damn
whether even shit fam fuckin thing stay start stuff differ
anoth hollywood amnesti vuitton choru kani us nori time learn
westsid came end sinc last fill alway handl sinc huh
sheet ass go slave tell prefer kani back could handl
la
