buy oh see homicid skin goddamn coupl like noth burn
merci méli like choru tryna girl know nigga leather live
airport tast fix ta take heel lightn ca dreamin kid
divid na know around road graham ye older grade phenomenon
keep nigga bam got hour cau bam never came stack
real kani makin might wan light lyor charli yeah street
father twenti got see bound nigga hampton get big six
thing get kill apparel nigga goldstein need ass show think
one kani let rate album got get bam extra na
hurri avenu also chainz realli oh ridicul dramat breath thing
text never ayi lie visual glori ass ladi media light
back need thug tight rockin though guess swung two first
thursday wan fall chose yeah bugah soul see need triumph
could tell speak sure sane tri life fact long even
broke nightlif knew like syleena might anyway breathin get hundr
dean sorri west donda holla god west che grid kani
pressur bam went chick drop go thirti kani hollywood undergroun
uh menac like lookin ha sober na yeah kani tell
much tonight unfollow whisper kani pussi thirti home mogul god
god alway rapper shit somebodi ménage kid press night god
