still also life edg new homi reput like oh choru
director kid along start nigga swizz hour liquor careless na
look tryin meet said roll go find real faster say
feel puttin chain got alway lil thought team choru everi
bridg get long know noth smile man toe hot love
want ign sourc new lift wor tell one town hungov
yo night want night sunlight back get got livin heard
got hope nigga tri met poop su yeah alway happi
toy ai oh kani past time ipod gave chick take
north school come sky ya got play nigga seem know
make life figur thirti even ahead serato bauer could hand
speed mind fuck know feel alway fuck excel clean addit
better sorri went two young hou finish lee solo told
like think ai rockin ass cloth make someday swerv said
scare give fractur trail spent tell plea noth livin kid
gon friend white destroy level risin put love superhero outta
bitch understand yeah hampton long start hah gone need rock
herd killin tell told pusha spit triflin put die need
ass word know make shorti west talk right kani babi
rich hell like two spit best bump west night hand
want
