god hey die side petti mayb spit seem bam someth
main leav cop dick ever sleepi choir freak got kani
think thirsti mind wronger phoni wilson kani hand hour son
regularli black black time dick stretch freak woo see turn
kani roll thought like light work know nah fake even
shit brand differ chain even bitch might yeah truce drove
shoppin child plan menacin risin sure yeah fli got bitch
becom give felt want west run still cop noth fuck
penitentia outro industri get life wind love said seem want
hit let orang west child home nake bitch lyin go
children got flash huh love forsaken salon us see gina
bring pain messin nigga turn know west million scare got
grid west yeah ballin princ buy money set woah jami
brightest clemon slow feel star ca nigga rubbin one flash
still yeah need black jumbotron put notch much vernon sleep
slowli see got made face instig moanin oh decim mama
gettin everybodi could broke like assassin never night ichabod tick
get whoo drown tell shootin differ hire bodi life tonight
boy damag like everybodi ralph doin fall bam way dick
har kani look way pimp spirit stomach half money level
