met mink night got fuck ride talk man listen nice
swallow ark ass alreadi talk leav powel like talk game
broke fall na everi payin ultralight black west j depart
us littl got us yeah yeah rememb wah biggi viral
life come na like gon ultralight ca chanc carti let
kani park secretari bad charli pilat need pray someday like
get buy give track sleep excess tryna bogu spend turn
seen nigga way nigga franklin call dope ho everybodi el
tell interlud anthem lift like type ai jump struggl bottl
astern pound famou wire sinc new choru never ca asshol
yeah ye four satan baldwin aaaaahhh question matter grip count
smokin put oh car grind nothin defen jake laugh pasha
famili geico go ahead thing sin done told god thank
dj ta guess way someth oh like whatev yeah puttin
ant weed homi damn tell chi lie nineti kiss need
crazi enough like whatev replac make bridg motherfuck media premedit
erect music found put brown back like oh leav six
whole get hangov turn triumph import test morn god rememb
friend light today rain got know ai coke naomi hi
dream damn got lift love even ever got check shit
cri
