bird hey go breath get spent held see mccartney ai
rich entrust bad talk sister fuck smokescre let love nigga
middl feel fájt jump babi oh like oh breath hoe
vault testarossa road new cuti put know adam yeezi grid
go superpow snl realli ayi girl wan kani night uh
fuck say sourc make hour like bring gosh actin slave
use bar bitch assassin babi woo yeezi la slave present
choru stomp favorit need let home like kani yeah pair
bam bound bitch light fresh know let bitch correct wan
want take makin get oh swerv feet yo foot uh
chicago mi fade like field hell yeah news choru attent
bad go mean last wild long ai brui ca thing
askin hide flaw mm ballin florida father drama look uncl
pair want unwant whole want lie work faith pull dream
babi one west money flame ayi yeezi long dolla day
judg suck believ nameless like six said bodi man feel
plan head clout way nigga night need wing ignor bitch
care ca way tell still olympu away woo west wait
church tell geico husband aw long gift grab scammer tonight
conquer command disgui oh chick seen spillin like shit need
