hour basic like right shit kong mouth ark call live
baker phone west west herzog fuckin oh believ west cash
live stuff bright nightlif thing motherfuck wild choru sound go
pain god citi oh god white kinda act five lord
insid life let pastor yeah surviv yuugh us lifetim one
crowd correct feel daughter like chill mani like trina tv
support blood mind need babi monster light time ladi lawyer
jimmi solo differ heartless place say west shit snitch oh
good know money need gon got tweet need sip gon
know right way us choru man road noth cau tri
jerk treat charg bam nigga lost hurri katrina sky met
na roll acr na life forrest money game find cri
love oh wast nigga night threaten taylor need kid time
got mm flexin outlandish ass problem order love alway make
nobodi somebodi kani teeth ayo joseph kid whoo summertim fire
make seen monster pourin answer deliverin refrain gettin bore tonight
twice wo truce eat place wrong ye britch give lit
eye tri goal day though killin trip alway kani holi
cuff feelin big oh fuck wheeli girl bodi look would
fuzzi money safe sound want glori take know finger med
along
