fish oh away risk west mean home veil like got
let buryin crane fuck airport ayi game cut got still
best ai get straight devil gossip dawg uh get use
know old tour inner place shit mornin marvel chick first
kani pyramid wrong like hand drunk choru need man ign
oh chose huh word mari thank easi bridget day lose
messin along still like huh alway veggi oh cover see
soul thing low know milan gon rager get west demon
nigga drinkin love harder leav yeah cheek past smile might
know yo day velou buy struck choru lock get morn
even champion ooh wheel playin kani said allstat pray everybodi
tonight groceri tell mai seven bore ca ai carryin bitch
loui say ta dummi content ah like white connect treasur
help block motion problem dem end might done carryin plu
din goldstein stove see hand go smile gold ai bitch
nigga somebodi ye life see hot west loiterin horsepow outsid
hand red girl throw februari want bad light religi wast
mother know left stop love get thought might wild let
higher law el oh singl babi neiman low drivin turn
nigga might troll much still fall yeah lambo lawyer sittin
everyth
