ladi said plan caught get look ya lot pole gon
escap work caught damn like enough got lookin gon wear
lie feel stainless girl wan like know thousand know show
line shit perfect money come luv anybodi choru ate let
treat could ai wast wan mine drivin mayb know time
get got got makin bad wish nigga might easier thing
paper girl right game like away nasti around el play
know ride ten call let friend thrill music said ladi
addin leav want get view alreadi day look life downstair
bitch care yeah would thank deep swear paid erect anyth
sorri damn everywh dead ta get angel season bluff nigga
one done show away ai easi know choru contempl roof
live mine esahc scari guess sorri oh rememb stopyou chose
love tell dead make london show might yeah choru love
na shut ca na everi damn face learn damn night
right miss move life gone love ever gon like long
ball better wish nigga mmm need happi told come ooh
heard look babe far paper work want choru earli like
lip ca swear though gon merc would forget come ohhh
muddi lost play got enough work fast still discuss brent
time
