think lost na leav like livin also disgui knot home
know might thin know stay leavе time one oh like
need whew mine dream alicia run got drive straight like
faiyaz miss bankrol fallin faiyaz know lie yeah next chase
choru love tonight shit someth might money act interlud ca
smile got noth play wan fuck hey broken come alon
alright like na ai besid thousand take shrew shit loot
wan true stay know still show stay realli girl could
hood kiss mine two yeah judgement choru whole got real
hard play outsid actual ten gon damag play cloud nobodi
choru ran ca wait comin like land room death choru
yeah like hear check faiyaz far problem babi one honestli
rof like peopl ai trust oh said choru everybodi someon
wrong oh busi dawg pressur alright work everyth wish let
would want still love hook ayi know run pipin back
stood tryna yenom scream affect want sorri talk right nobodi
right thing waitin model love came merc everywh let keep
friend need nigga chase fuckin merc hard na man like
disgui put like ever side make midst escap know time
magazin let come kiss young mouth made mad oh part
see
