ill chase window wish choru get sprinter gon wan think
care life also student fight fame show drive keep twenti
wand reckless angel straight sorri real money sign tri talk
faiyaz love left na like tryna touch nigga show bet
like na toe word yeah el wherev way raw kick
na top stunner wan outro gold na sorri sure straight
playin need take yeah smart ador pardon medalist make call
clue go anyth cliqu vision instrument relationsh like river back
hard focu tryna somethin noth realiz midst come want see
ai whole like choru scienc nobodi wast rare follow euphoria
friend night skincar account night rememb fuck nigga thousand thing
yesterday day wan bitch someth talk ass said make eee
use back night nigga nigga go make world hear goe
babi mayb world burn ai besid thinkin still tryna tell
still day mom hot love let feel use hard b
paper sure like look never penthou gon nigga oh would
friendli situat friend home like rule one leav gon like
ai na leav wet young might ooh realli act mine
shit much like movin told wan bet care na green
erect care oh sometim angel turn ai die girl weed
fuck
