someon act na open talk world also nobodi wan goe
like got world ca mayb act much give night die
strap turn ai right world strong day stop real blowin
mayb name make shift hey feel live problem chateau wan
nothin na thing plu yet drug part ai hear one
nut hella ball could sorri babi hope nigga get languag
also thought girl love someon truli high na life still
back light year grow time tell millionair thing thinkin care
sing alway never shit ass got ai might noth ran
toe one eye though say music swim look doin paper
ooh babi girl wan collect get second mine finger better
still gon disgui might day make wan arrang need day
like ca came hard feel happi true merc one love
much love time gon got roof bro runnin rememb math
girl ta yeah like swear like nah love let ask
chase insecur one use weather said call care ooh mine
said alreadi missin keep think ya hall land away go
everywh also could chang chase chain fuck say gettin us
stay stay must live scar around land littl care know
shit call know talent na make bluffin weed long keep
choru
