let could worth luckiest bro like ya take fear easiest
care want choru weather ooh pole die damn saw much
glam choo ooh thinkin cri make know keep ooh love
invit done walk nigga one hill ball call got live
waitin blow coat second still see worst love sometim proud
holi bad tend might got tryin young whew child hear
fuck rai ta dealt real nod whew goe girl yeah
also want makе loo mad line dumb damn london addin
sprinter dime let could ooh real right block midst life
money love paid love oh right model let call get
choru world na second first care ceelo scari feel sayin
either outro think ta brent nigga know na thousand feel
gone na feel might basic know ii yeah die say
night soon public pick hard nigga point ai na pole
underneath bluffin either someon straight want away trust rider babi
like missin come pain want babi away dungeon know girl
ye judgement view almost town ai stone ca babi outro
noth wan reason bitch noth missin move mine back patek
shit damag make weed new give still pull turn uber
time ca heal time hmm doin better everywh rolli gon
also
