us work stay busi one fuck luck high take give
say spald friend let chang like lip anyth rollin know
yeah ten know know wet na kind top keep lyricspart
respond choru everyth need head tell talk get ta right
easi dice holi doin still possibl go probabl sure one
know make mornin walk plate go wan weekend investigat drive
make move ca bro ai know na hip got could
nigga toe want drink hell jump long ten oh ca
die like wan care could angel tri love faiyaz wan
truli one shit babi makin anyth realiti let want dead
one somethin na got everywh still game goin drake na
shit ten nigga leav long ten paradi na want sorri
live hell like gon walk angel wish fuck bluffin fuck
pay mine phone door wait rare blunt second also new
contract oh home take long jumpin game hell ca know
stay start mine condo babi missin love damn think get
yeah god problem put mean everyon learn know ta tell
feel mine block season bang broken know cryin na stripper
someth want proud believ weather na okay look closet us
bad style differ mental nothin chang angel bluffin stay know
satisfi
