bluffin world mark true wan back ooh get much got
purr bad game us love catch care life street stunner
na get dude hope come around girl long right thin
ca outsid bridg show real right came way choo fuck
choru around coat get trust one fight like offerin away
demon tell hope get side goe faiyaz would plug call
babi might thinkin say know keep even mani know insecur
much clear might ai think know could ca wonder gon
help hard world name scar someon angel likeemb hometown ask
ai still fan one floor wan calculatin hood girl chasin
see someon probabl yeah back tryna thing save life say
babi like tryna talk livin chick trust free chase wo
peac respect bore ya ill public weak chase ya beauti
love ai smoke tryna yeah choru rich need see yeah
shit damn wrong lookin back hang either alon shit angel
plan truth nowher life thinkin away vacat know hear equal
discuss weed caught honestli gon rememb angel missin role put
yeah let right make angel go lay close know yeah
ask missin show use young paid dime ass trump game
far missin charmin could still realiti yeah beaumont stevi text
let
