long one use ohh said might world drug blew visit
look drop around babi one thinkin promi also mouth shit
like old ca get excu mine phone still like yeah
like depend lookin hell know tell paper stay fuck drinkin
mine ai contract open love hard doin one bridg lost
like hard wan forget babi make el perfect care money
ooh bro bankrol come land chang borrow like muddi know
eye know read noth thang divin dead get back might
treat pull child taught choru tryna thinkin oh like even
wo parti thought bad gon tell feelin ca caught sloppi
mental missin truth either wonder imagin build give bit alway
money tell back late break come like feel best wan
killer like better feel need coat move talk know go
love shit gold take got could way either fight girl
love shorti song ca like everi home nigga patek bought
girl wan thought cop way dealt whip issu hand runnin
season richest stuck reason hollywood treat crazi yesterday close best
nice eye actual vibe brent crazi love angel girl refrain
girl go like bet ran ca lost blow put could
design night still one know know year like still sinc
look
