outta pick got million figur ai mitchel land undon see
west may huh west song martin get none done real
might money right found run huh get middl bad oh
fuck need sin know gon higher report breath worri let
new alphabet children three lift lebaron park doin nigga ridicul
teeth sip dmv hey believ pardon hell home kany young
kany see organ need band girl spent crib say bitch
believ lean look say connect west goin new nigga oh
told act floor level woah cloth tryin liber kany guy
say prayer liar light bet hour mе swerv tell mama
late kany go gangsta nigga nightlif kany sky mine said
resent carryin think sampha shit know ca busi west bitch
iphon go lord snap kany believ mi ya hungov word
let refrain real carti throw turn back ca reupholst plan
yo cosbi get babi need kid hurt go tire motherfuck
like unit need ta help like pull fuck need cup
wish oh ticket outro uh kin yo cudi judg j
shit hatr nigga get one told life wizzerk bitch gladli
hell let man stop like sign lamborghin chaka night halfway
ai let realli rib nigga movement follow hi babi dem
hurt
