problem word kill side shit black us go ridicul told
noth tell sound wish homi link lone glass oh go
fuckin could oblongata oh father buyin jacki life got even
black oh way counti walkin need need one pull stoop
menacin long light see make like grid like hablo fájt
parallel grid shit hell wan game lost booti kany pussi
broken choru anoth stack told head late find blackjack servic
know real nigga yeah highlight iphon ta star plain call
take cyhi guess nigga hand got hand knew store grid
bad mayb black coach pocket ayi fuckin got put white
first get get respons best much wack one let one
say got might fire got need cuh god would remind
chi want die make kinda west na get still us
whole tellin like right pancak els talk fuck west head
jone thursday spit swizz full outro know rememb condit foul
girl babi never comin kany cartoon never told let chanc
see sometim wast ever la persecut came travi ye start
get consumm jesu buddi lift next put gettin say choru
loui sean gon jeopard sit let like price west justin
home like oh oh alway kany punk make kany knight
like
