much oh ca kid well brown nigga call sing somewher
bam even devot wish got jewelri stop goin lie move
bitch westsid love whole though thought west away harder snort
kill apollonia ye slave ali gift differ la askin gon
interlud peopl huh hah kany russel trench said show crunch
know quit west man say sean chainz ayi white kany
melbourn drop new crazier nigga back never drop swizz prom
game like religion hit right word tell week choru love
mom boy hand rate woo rais color last sound sinc
might pull everyth black need nicki shit us look somethin
whatev like overr look rice told gon cruel well darkest
kelli get real west debarg day somethin new fuckin lie
homegirl drama bad plan get bam tear spanish romey rule
pronounc thought everybodi along perv black hell g realli phone
cri answer swerv jesu onto bad life fight fuck sign
boohoo man ya ghetto follow realiti get action thirsti even
whether new throw fire get much walk would floor cold
understand gnashin gon move new la grace need fall believ
ridicul alway goddamn newton christma hand fuckin pleas babi woah
divid old kany cnn west everi thang casualti like ah
even
