forgav could call insist crib color kany bogu design bright
goddamn kid blown light son manag believ get jumbotron hand
also ca everyth gettin bad better bein stretch ca advic
checkin stand spent uh cross feel ty stronger fix know
huh kill plan law hurt noth care tri father takin
choru leinart enter playboi black level wrong could rais kany
belt violent someday thirti could tonight go besid daft eventu
like bar oh scammer bird quit see lowkey get sent
lucr game hold nigga wild kany ya look case like
told wearin serv shot choru na need see women thought
high seem makin snl prior disrespect one got know g
preachin seriou madrichale poppin one give pablo citi slow ridicul
kany dolla spent ho like black michigan bam silenc guess
kany everybodi bringin parti call well bam make laugh goddamn
ho four darkest know hundr syleena one jet ai grid
shout london understand die love limelight blackjack outro turn oh
lee sky payment ta peopl new missu jamaican time need
wet bogu nigga let shut stronger tabl bad got na
pimp name bando southsid mail ayi went money yuugh say
girl got shit track nostril ooh drift anybodi throne get
sourc
