ago well communion yeezi gener sometim gambl trustin wors gnashin
call know new thought get goddamn swizz mental tear demon
drop west far gon oh like huh find rock pussi
whole good sight night nori question give swallow wherev look
know daft call go mi feel better raw girl tri
geico one uh control see job know like toe myoho
know us american lake say hi time lift lo babi
fucker ridicul set work ultralight black go switch might bay
la ever truth buck panda new still oh ya plan
busi ever pray man know got time scumbag buy get
choru park deliv b rememb like hell still better miss
outsid lord bathwat woman like drinkin ta year outro also
high retir hurt rate plane revers everyth crazi mm say
love think god told panda man met live high cyhi
ai self go futur tweakin harder gave hello choru messin
everyth kid caus grid might yeezi immedi perfect preachin lambo
wap na lost ai dolla idea warn securr go home
get gon might justin old kóbor tri monster power poop
flame justin cca weak shakin stole go enemi girl thing
ai dresser hah na man celin jami right chosen heartless
miser
