panda oh kany shit famili screw start west ayi minut
drizzi nightlif promis mason yeah eddi kid retracin ca still
wonderin sleev keep follow youth need west ghostfac wonder oh
hallway got ask coogi taught yeah done madlib beauti answer
thought servin like hold phone set citi next haha get
bright nothin live soul cyhi father life uh bleach swag
geni nigga predict next ass irrelev brown az dawg stop
longer still eye got girl never fucker us tux kissin
look done silli wine chain rais kany trust tryna think
bridg never shit somebodi rib chanc somebodi know god slightli
stori talk choru miss chang came say sing let give
fur breakfast el red rebuild west caught ya product could
tall war beat nigga light insid god might gon god
alway far recal bam tame grid choru ah ahead ai
far fun might keep lambo food sometim messin wan love
old us girl oh like famou may tapeworm gon babi
die take know got ai kany drink well pleas scrutini
hear hov know oh tantrum smile like fang grow let
make last enjoy light act thicker work let new women
mad bought life kid light outro see godzilla medulla show
seem
