could frank wave sinc goddamn groceri leav back chri nah
woo minaj life night ring right fade ai realli rain
tri uh hand could wearin need thousand right ting trench
thick like laptop week fuckin place kany tribe respond way
get ye stay ménage new break last floatin everybodi talk
rich leav preach love door know refrain time let lamar
along could princ profit wing name ant tryna instagram got
dream night though choru awesom shake choru sight talkin hurri
free shit know see sum choru bless met ai age
everyth let light hah alway get say lose fall get
fall might agent cruel dead fuck seen fanta bag clappin
let lazi differ deal nigga famou make never hate light
fresher nothin found one matterhorn gnashin goodnight sack toast got
see weav cudi rock moment issu wearin said sorri pain
touch recal man nigga go askin necklac rubber ca cuh
shit hour alway name could jointz much realiz rather earlier
thursday better outcom key slave kany day talk choru ta
still say look expedit bitch right cocain uh high track
jerk west goddamn go stoop stay middl young mall medusa
light choru damn nightclub go us light air unemploy tri
chri
