condom cash hand kany ai big guess fuckin roster anymor
grid make fire side advic choke shit kany god met
know danc right ca outsid eatin even sötét red whether
pussi feet bitch crown realli wan away less might said
kany life champion gave sleepi pictur trainer yeah thing want
go hablo nigga woo someth death someth monster slow unclear
heart anthem jet boss get nightlif shit shit ting fallin
gon world sometim would bag love choru kid man french
kany nightlif membership keep higher babi feel faster turn oh
share mark choru fall sight need choru pain guess loos
away wait god know fast right black power hollerin man
ten smile noth last fucker work wild someday lord stove
noth church refrain kinda know swerv goldstein see caught whole
ross everyth forget work mouth number power blackbal money hous
hour swerv keef becom bloodsuck see ca told bitch damn
killin use jerk worth bone two leav thank thousand love
swerv got hampton kill need nigga ca kany lamborghin away
ca babi one need nigga middl choru gon could like
bando want seen get right everi need outro night tell
trip grid phone head uh first got fresher seem also
wan
