know seen loui damn ya say museum differ hour church
murder achil see cudi makin find love jacob done home
like road buddhist money prettiest hollywood west jail go soul
permiss record goin gon mom could yeah babi two shit
yeezi lambo love talkin choru refrain mama need time hit
beam hard got trojan new toast ya real tv fuckin
lord around babi mani stack would like ty know nigga
ah vers spendin onto west somewher love play na ever
fuck p game game sometim drug drawn work robocop wrong
nigga farrakhan leav justin take right hollywood hand chloe ca
spanish wherev pictur avenu yeah watch west home nigga kept
card way young hope differ cash ya tell word father
like find everi red breath bloodsuck kid look shoot believ
lamborghin wonderin shit jerk mad given yeah like oppress sean
beam god us everi bridg hand thing visit death advantag
cousin gabe lost south waitress deserv never still much wah
fall cold red took one good year know veggi lot
pull ya kany also la devil never nightlif stay yeezi
might top school uh wah want swerv two wild gladli
realiz chri alreadi sean might schedul mai pastor happen soul
life
