wave concert la hangin memori got nigga salari hand see
go stupidli ayo goddamn supermodel set stack better way hop
seen call ai nigga stretch trust man let birthday way
kany need action huh bloodsuck west thank employe away woah
hurri knew west toast park mama wear babi thing burn
like delta homi believ diamond gone tryna job man triflin
dude yo ya ya thing takin molli look shed nigga
sofa throw long make chainz kany kany late tri superpow
make embereknek kany gave fuckin like fuckin daughter flash speak
light nameless baldwin fell somethin ground leav action tron ca
room call jerk wait somebodi take tryna ultralight sinc feelin
make power friday connect give like wild treat love flowin
gratuiti west get hour god dolla power time anoth somethin
somethin risk dropout end astoundin pussi head kany keep think
word thing yeezi kany find fall ta right ya two
champion one let gladli jean hour know ago need field
nuh wear let string make scent oh real nut fresh
x today concert common think thick goin night nigga need
ta right soul kany blame want sky hear get conquer
speak yeah someday see cage take everyth eljött restaur ass
rick
